Country,EPI 2000,EPI 2002,EPI 2004,EPI 2006,EPI 2008,EPI 2010,EPI 2012,EPI 2014,EPI 2016,EPI 2018,EPI 2020,CCPI 2008,CCPI 2009,CCPI 2010,CCPI 2011,CCPI 2012,CCPI 2013,CCPI 2014,CCPI 2015,CCPI 2016,CCPI 2017,CCPI 2018,CCPI 2019,CCPI 2020,2014 Sustainable Competitiveness,2015 Sustainable Competitiveness,2016 Sustainable Competitiveness,2017 Sustainable Competitiveness,2018 Sustainable Competitiveness,2019 Sustainable Competitiveness,2020 Sustainable Competitiveness,2014 Natural capital,2015 Natural capital,2016 Natural capital,2017 Natural capital,2018 Natural capital,2019 Natural capital,2020 Natural capital,2014 Resource Intensity,2015 Resource Intensity,2016 Resource Intensity,2017 Resource Intensity,2018 Resource Intensity,2019 Resource Intensity,2020 Resource Intensity,2014 Social capital,2015 Social capital,2016 Social capital,2017 Social capital,2018 Social capital,2019 Social capital,2020 Social capital,2014 Intellectual capital,2015 Intellectual capital,2016 Intellectual capital,2017 Intellectual capital,2018 Intellectual capital,2019 Intellectual capital,2020 Intellectual capital,2014 Governance ,2015 Governance ,2016 Governance ,2017 Governance ,2018 Governance ,2019 Governance ,2020 Governance ,GDP PER CAPITA PER CAPITA 2000 ,GDP PER CAPITA PER CAPITA 2001 ,GDP PER CAPITA 2002 ,GDP PER CAPITA 2003,GDP PER CAPITA 2004 ,GDP PER CAPITA 2005 ,GDP PER CAPITA 2006 ,GDP PER CAPITA 2007 ,GDP PER CAPITA 2008 ,GDP PER CAPITA 2009,GDP PER CAPITA 2010 ,GDP PER CAPITA 2011 ,GDP PER CAPITA 2012 ,GDP PER CAPITA 2013 ,GDP PER CAPITA 2014 ,GDP PER CAPITA 2015 ,GDP PER CAPITA 2016 ,GDP PER CAPITA 2017 ,GDP PER CAPITA 2018 ,GDP PER CAPITA 2019 ,GDP PER CAPITA 2020 
Canada,55.64,56.01,56.7,57.19,58.06,66.44,58.41,73.14,85.06,72.18,71,37.6,38.9,40.7,43.9,46.3,45.16,40.39,38.81,38.74,43.06,33.98,34.26,31.01,50.36,49.93,50.82,51.39,51.07,52.16,51.28,62.19,65,66.47,61.91,61.1,62.03,60.6,62.19,36.36,36.65,47.37,53.42,49.89,37.14,49.42,50.58,50.69,36.41,48.44,48.68,50.77,50,43.53,50.46,49.06,48.68,49.73,55.38,50,54.2,48.08,49.25,48.41,50.49,52.53,29362.95,30214.09,30963.05,32333.48,33911.04,36327.23,38106.36,39555.5,40376.31,38893.72,40114.19,41666.71,42290.97,44298.58,45753.75,44670.08,46472.34,48317.1,50239.99,50660.58,48072.58
Chile,53.24,55.14,55.16,55.06,54.54,73.34,55.34,69.93,77.67,57.49,55.3,,,,,,,,,,,,,,43.43,42.11,44.64,44.89,44.85,45.89,50.57,48.87,51.25,52.54,50.52,50.26,51.64,54.24,48.87,37.42,43.02,41.99,45.99,44.37,51.78,32.81,31.64,45.56,51.09,34.52,36,46.56,40.31,33.97,43.42,43.82,45.06,43.63,46.13,57.21,56.27,54.31,53.2,50.66,53.83,54.15,9553.57,9972.65,10333.06,10841.33,11812.63,12746.59,15753.96,16941.83,16501.81,16159.61,18161.81,20342.56,21507.69,22439.27,22786.64,22698.55,23437.59,24470.7,24740.5,25974.73,25067.69
China,41.24,42.97,42.04,41.87,42.06,49,42.24,43,65.1,50.74,37.3,47,45.9,46.6,44.9,44.6,49.03,52.41,51.77,48.6,47.49,45.84,49.6,48.16,48.33,47.21,47.2,48.94,49.99,48.49,50.83,29.78,29.39,34.26,32.08,33.23,33.35,37.85,29.78,28.86,32.73,37.39,48.49,39.7,39.59,44.02,45.6,40.94,46.16,50.14,49.8,53.49,66.3,64.89,62.97,66.7,67.04,61.48,66.25,70.04,67.34,58.88,60.19,60.3,58.11,56.98,2920.56,3210.01,3534.85,3937.31,4425.87,5053.95,5836.57,6810.6,7574.22,8307.85,9253.77,10299.87,11197.6,11923.75,12549.77,12978.77,13572.62,14344.42,15608.97,16772.84,17312
Colombia,58.32,59.15,60.56,62.1,62.55,76.77,62.33,50.77,75.93,65.22,52.9,,,,,,,,,,,,,,45.92,45.17,46.73,46.62,46.53,46.66,47.4,58.14,57.46,56.24,62.42,61.5,61.7,62.02,58.14,42.56,50.18,50.47,45.24,50.11,49.84,35.35,34.71,47.18,36.95,31.81,33.97,37.05,44.31,40.2,39.07,38.58,39.23,37.54,35.06,51.35,50.92,54.77,49.19,50.76,49.99,53.04,6690.37,6843.74,7018.08,7319.54,7806.05,8324.75,9035.57,9781.97,10179.24,10258.97,10731.65,11604.1,12018.65,12727.76,13307.42,13265.8,13812.1,14171.32,14865.89,15621.09,14565.37
Costa Rica,65.96,68.37,69.33,68.65,68.63,86.4,69.03,58.53,80.03,67.85,52.5,,,,,,,,,,,,,,49.37,47.34,47.42,47.13,48.71,48.8,52.6,50.73,50.68,47.7,47.6,52.21,54.03,54.37,50.73,49.57,51.6,48.81,49.08,53.5,56.91,44.28,42.76,54.96,49.68,37.4,39.51,48.42,50.9,44.46,44.68,45.06,45.7,44.9,42.85,51.12,49.23,50.07,54.76,55.98,52.07,60.46,7838.44,8142.67,8414.66,8805.39,9305.99,9836.96,10727.2,11760.07,12392.29,12219.94,12863.85,13545.93,14321.52,15005.92,16067.33,17090.8,19075,20347.03,20994.4,21792.48,21031.82
Cote d'Ivoire,51.36,51.56,52.4,53.08,53.44,54.25,53.55,39.72,59.89,45.25,25.8,,,,,,,,,,,,,,38.91,39.64,42.53,43.92,42.88,42.76,45.28,61.85,64.19,61.93,56.58,51.67,50.81,55.2,61.85,45.04,55.08,57.61,46.54,57.92,59.84,30.78,31.85,43.53,48.39,33.67,35.77,33.69,20.79,17.63,26.23,30.96,28.01,25.44,29.63,36.83,39.5,38.12,41.35,43.15,43.89,48.03,2291.44,2289.13,2236.33,2199.9,2239.76,2300.12,2354.29,2406.78,2460.25,2501.73,2522.37,2404.04,2626.07,2828.4,3127.48,4652.89,4726.98,4830.75,5154.33,5432.99,5458.24
Croatia,60.79,60.3,61.08,62.23,63.7,68.65,64.16,62.23,86.98,65.45,63.1,49.7,51.7,47.4,50.2,47.2,56.37,52.79,56.35,58.43,60.66,61.19,62.39,56.97,46.73,47.92,51,53.37,54.4,54.23,57.18,52.59,53.46,55.15,54.73,56.69,57.05,61.09,52.59,37.95,45.6,55.79,52.26,59.8,57.7,52.6,52.12,35.46,41.68,46.74,47.21,52.28,46.63,44.78,50.76,52.93,52.33,48.54,50.91,45.9,51.32,50.97,56.69,57.28,58.53,63.92,10587.43,11550.99,12646.83,13549.79,14533.25,15300.61,17421.01,19318.72,20768.81,20009.63,19814.6,20804.39,21168.85,21820.52,22060.74,23005.1,24876.31,26800.12,28554.39,30245.98,28503.88
Cyprus,56.24,56.62,57.25,56.9,57.04,56.26,57.15,66.23,80.24,72.6,64.8,46,43.2,46.6,53,54,60.94,57.61,66.99,65.12,64.28,52.29,44.34,41.66,42.24,42.03,41.23,42.28,44.14,45.84,47.56,31.32,29.64,24.71,20.43,26.59,28.11,31.82,31.32,38.03,44.36,47.19,48.98,51.44,45.38,52.63,50.88,33.4,46.16,50.01,50.94,53.61,46.47,43.23,43.65,44.01,43.42,46.61,48.22,42.84,48.35,44.11,49.59,49.18,52.09,58.78,21297.77,22871.72,23556.32,24254.8,25923.23,27763.23,29975.32,32841.72,34830.12,33909.73,33449.09,33313.47,31834.72,30375.12,30080.3,31815.14,35719.07,38050.86,40476.39,41514.51,38458.19
Czech Republic,60.52,60.92,61.85,63.55,64.53,71.62,64.79,81.47,84.67,67.68,71,51.9,55,54.6,57.5,50.4,59.13,53.93,57.99,57.03,58.52,45.13,49.73,42.93,47.01,48.65,50.82,52.66,52.28,53.14,55.17,45.65,47.08,43.03,37.93,38.03,35.56,48.64,45.65,31.52,39.62,50.32,53.52,53.3,40.02,52.34,54.8,47.82,37.88,50.86,52.04,56.6,58.22,54.55,57.13,56.97,54.84,58.53,61.21,47.3,55.28,61.25,67.8,65.04,66.26,69.36,16242.54,17628.68,18252.57,19517.94,20914.73,22095.39,23891.7,26250.48,27974.49,27781.94,27903.26,29001.37,29254.73,30818.11,32502.48,33899.29,36097.71,38824.89,41134.09,43005.55,41737.42
Denmark,60.88,61.38,62.02,62.17,63.55,69.15,63.61,76.92,89.21,81.6,82.5,57.3,60.6,57,54.6,63.9,72.61,75.23,77.76,71.19,61.87,59.49,61.96,71.14,51.61,52.73,56.03,57.18,57.21,56.96,61,49.16,50.4,51.02,49.74,46.23,46.82,51.41,49.16,42.11,48.72,55.84,43.21,59.81,65.65,63.14,63.33,51.08,45.45,54.75,55.27,57.82,58.13,55.24,62.88,66.45,67.56,63.6,67.04,46.92,52.57,57.17,58.85,59.25,59.28,63.06,28670.59,29450.04,30640.35,30788.62,32911.4,34150.16,37284.45,38958.86,41278.33,40361.1,43035.89,44403.38,44803.97,46726.85,47901.45,49045.34,51976.01,55356.68,57462.78,60334.81,60398.45
