Country,EPI 2000,EPI 2002,EPI 2004,EPI 2006,EPI 2008,EPI 2010,EPI 2012,EPI 2014,EPI 2016,EPI 2018,EPI 2020,CCPI 2008,CCPI 2009,CCPI 2010,CCPI 2011,CCPI 2012,CCPI 2013,CCPI 2014,CCPI 2015,CCPI 2016,CCPI 2017,CCPI 2018,CCPI 2019,CCPI 2020,2014 Sustainable Competitiveness,2015 Sustainable Competitiveness,2016 Sustainable Competitiveness,2017 Sustainable Competitiveness,2018 Sustainable Competitiveness,2019 Sustainable Competitiveness,2020 Sustainable Competitiveness,2014 Natural capital,2015 Natural capital,2016 Natural capital,2017 Natural capital,2018 Natural capital,2019 Natural capital,2020 Natural capital,2014 Resource Intensity,2015 Resource Intensity,2016 Resource Intensity,2017 Resource Intensity,2018 Resource Intensity,2019 Resource Intensity,2020 Resource Intensity,2014 Social capital,2015 Social capital,2016 Social capital,2017 Social capital,2018 Social capital,2019 Social capital,2020 Social capital,2014 Intellectual capital,2015 Intellectual capital,2016 Intellectual capital,2017 Intellectual capital,2018 Intellectual capital,2019 Intellectual capital,2020 Intellectual capital,2014 Governance ,2015 Governance ,2016 Governance ,2017 Governance ,2018 Governance ,2019 Governance ,2020 Governance ,GDP PER CAPITA PER CAPITA 2000 ,GDP PER CAPITA PER CAPITA 2001 ,GDP PER CAPITA 2002 ,GDP PER CAPITA 2003,GDP PER CAPITA 2004 ,GDP PER CAPITA 2005 ,GDP PER CAPITA 2006 ,GDP PER CAPITA 2007 ,GDP PER CAPITA 2008 ,GDP PER CAPITA 2009,GDP PER CAPITA 2010 ,GDP PER CAPITA 2011 ,GDP PER CAPITA 2012 ,GDP PER CAPITA 2013 ,GDP PER CAPITA 2014 ,GDP PER CAPITA 2015 ,GDP PER CAPITA 2016 ,GDP PER CAPITA 2017 ,GDP PER CAPITA 2018 ,GDP PER CAPITA 2019 ,GDP PER CAPITA 2020 ,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Continent_Name,Continent_Code,Country_Name,Two_Letter_Country_Code,Country_Number
Ecuador,58.42,56.19,58.27,57.77,61.09,69.34,60.55,58.54,66.58,57.42,51,,,,,,,,,,,,,,44.53,44.42,43.05,43.44,45.72,44.35,46.58,53.55,53.41,50.46,51.05,48.62,47.94,52.55,53.55,37.58,38.97,44.68,41.55,45.63,45.47,44.4,43.4,34.96,44.91,44.4,44.07,47.01,37.48,34.65,35.9,34.72,41.07,34.4,39.34,50.47,53.08,49.8,44.01,48.55,49.71,48.54,5838.9,6094.35,6332.19,6513.3,7117.17,7598.95,8037.89,8294.64,8845.55,8818.68,9090.31,9857.52,10311.4,11153.69,11713.18,11060.29,11034.27,11617.91,11839.34,11851.47,10896.43,ECU,"Population, total",SP.POP.TOTL,4543658,4674176,4809194,4948991,5093848,5243980,5399423,5560013,5725462,5895368,6069375,6247421,6429377,6614840,6803271,6994331,7187794,7383713,7582357,7784074,7989178,8197648,8409396,8624594,8843463,9066100,9292481,9522362,9755576,9991870,10230931,10472476,10716131,10961460,11207999,11455205,11703169,11951457,12198449,12442109,12681123,12914660,13143465,13369678,13596390,13825839,14059379,14296554,14535740,14774412,15011114,15243885,15474099,15707473,15951832,16212022,16491116,16785356,17084359,17373657,17643060,South America,SA,"Ecuador, Republic of",EC,218
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,39.13,37.93,38.21,38.72,38.51,38.61,38.94,40.06,40.37,36.25,33.22,32.88,34.52,33.90,40.06,32.66,29.99,37.30,32.19,38.83,41.48,41.49,40.14,42.80,48.74,30.76,32.67,28.65,32.77,28.00,36.59,35.13,38.97,36.14,40.26,47.90,48.45,48.15,56.13,51.09,50.89,50.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,50.72,51.25,51.87,52.2,52.49,69.07,52.08,43.79,68.07,53.91,43.1,,,,,,,,,,,,,,39.85,39.07,39.84,40.49,39.99,40.23,44.73,40.88,41.03,40.33,35.29,39.62,36.48,40.74,40.88,51.31,49.97,50.99,47.62,52.68,61.06,36.35,35.1,52.26,48.41,34.62,38.58,43.03,27.75,24.96,31.72,29.4,27.26,24.78,26.25,41.53,42.94,42.33,50.45,45.99,48.63,52.57,4447.65,4554.85,4672.35,4807.71,4956.55,5224.75,5591.44,5823.17,6063.27,5956.87,6127.08,6465.81,6541.22,6877.15,7233.19,7597.69,8038.63,8454.06,8820.84,9168.05,8498.97,SLV,"Population, total",SP.POP.TOTL,2766319,2846601,2931187,3019224,3109571,3201310,3293954,3387384,3481624,3576834,3673066,3770060,3867310,3964273,4060255,4154689,4247508,4338451,4426679,4511127,4591135,4666361,4737256,4804936,4871041,4936803,5002339,5067531,5133273,5200608,5270074,5342190,5416327,5490478,5561916,5628602,5689943,5746288,5797764,5844834,5887930,5927001,5962139,5994075,6023801,6052124,6079395,6105810,6131767,6157678,6183877,6210567,6237922,6266076,6295124,6325121,6356137,6388124,6420740,6453550,6486201,North America,,"El Salvador, Republic of",SV,222
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,39.21,38.26,40.73,39.93,40.55,40.78,40.76,61.36,61.98,62.01,59.12,58.08,58.26,60.02,61.36,44.70,53.78,51.64,46.93,54.28,51.14,28.07,25.93,45.14,44.15,32.93,34.78,36.19,24.70,18.97,22.78,21.49,24.62,19.14,22.50,43.45,39.69,32.64,35.12,32.84,37.43,33.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,34.83,35.7,36.27,37.36,38.02,54.63,38.39,25.76,36.73,39.34,30.4,,,,,,,,,,,,,,32.3,32.96,32.7,35.08,33.94,34.24,35.86,36.67,35.3,30.7,33.52,33.79,35.17,38.42,36.67,44.18,49.45,50.48,57.79,53.39,57.65,27.3,28.27,46.97,32.45,34,34.84,33.62,18.2,22.03,19.81,18.66,16.27,14.49,17,38.01,35.01,35.35,37.51,32.26,33.3,32.6,1528.58,1640,1642.46,1553.46,1547.72,1575.14,1556.66,1578.9,1420.74,1459.83,1485.2,1625.51,,,,,,,,,,ERI,"Population, total",SP.POP.TOTL,1007586,1033320,1060489,1088859,1118152,1148188,1178875,1210304,1242633,1276122,1310947,1347180,1384789,1423749,1463986,1505438,1547978,1591622,1636771,1683932,1733423,1784557,1836825,1890556,1946299,2003942,2064803,2127421,2185607,2231144,2258649,2266356,2257593,2238631,2218436,2204227,2196467,2195192,2206439,2237412,2292413,2374721,2481059,2600972,2719809,2826653,2918209,2996540,3062782,3119920,3170437,3213969,,,,,,,,,,Africa,AF,"Eritrea, State of",ER,232
Estonia,55.62,56.3,55.68,57.15,56.39,63.8,56.09,74.66,88.59,64.31,65.3,49.2,51.5,51.3,52.7,53,52.45,45.52,51.58,47.24,46.04,52.02,44.37,48.05,49.39,49.71,53.56,53.73,54.42,54.92,59.38,55.71,56.51,65.38,63.31,60.5,63.32,63.84,55.71,33.63,37.92,42.21,40.75,46.55,49.85,48.92,48.54,43.07,46.24,49.79,51.87,59.4,51.4,48.17,51.89,52.86,53.82,50.35,55.81,53.08,61.71,62.61,62.63,60.84,62.52,68.02,9437.81,10326.33,11670.37,13123.84,14522.47,16624.91,19307.45,22164.75,22830.09,20608.9,21815.02,24780.98,26190.55,27642.58,29135.71,29389.26,31577.07,33856.18,36326.8,38819.34,38394.92,EST,"Population, total",SP.POP.TOTL,1211537,1225077,1241623,1258857,1277086,1294566,1308597,1318946,1331214,1345249,1360076,1376955,1392518,1405951,1418169,1429352,1439576,1450211,1460188,1468333,1477219,1487666,1498414,1508745,1518617,1528781,1540190,1552221,1561900,1568131,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1390244,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1331057,Europe,EU,"Estonia, Republic of",EE,233
Ethiopia,51.57,51.88,52.68,53.77,52.5,43.14,52.71,39.43,45.83,44.78,34.4,,,,,,,,,,,,,,41.78,41.84,43.23,45.08,46.79,46.72,47.02,49.98,49.68,47.88,50.89,53.46,54.5,51.73,49.98,50.53,59.07,60.73,64.36,64.36,69.66,34.96,36.55,49.55,53.66,39.16,39.81,40.05,26.31,24.19,25.42,26.31,25.68,23.29,23.52,47.47,48.25,46.19,47.26,51.26,51.66,50.15,482.88,519.27,520.34,503.97,571.4,640.66,711.59,792.35,870.72,928.63,1028.32,1134.78,1213.6,1283.57,1513.7,1657.34,1878.81,2021.56,2154.02,2315.35,2422.96,ETH,"Population, total",SP.POP.TOTL,22151284,22671193,23221385,23798418,24397010,25013634,25641040,26280135,26944386,27652715,28415080,29248650,30140799,31036670,31861353,32566855,33128151,33577240,33993301,34487806,35141703,35984531,36995246,38142679,39374346,40652146,41965696,43329238,44757205,46272308,47887864,49609976,51423591,53295556,55180993,57047906,58883531,60697443,62507724,64343008,66224809,68159422,70142090,72170581,74239508,76346310,78489205,80674343,82916236,85233923,87639962,90139928,92726982,95385793,98094264,100835453,103603461,106399926,109224410,112078727,114963583,Africa,AF,"Ethiopia, Federal Democratic Republic of",ET,231
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,36.37,38.31,40.02,39.71,40.70,40.30,46.66,50.67,49.45,51.26,52.94,53.60,55.00,60.96,50.67,36.38,42.13,45.51,49.35,45.14,50.11,26.03,24.34,39.21,38.95,33.11,32.99,39.84,32.07,39.09,39.66,29.47,31.55,31.18,34.43,37.03,42.28,38.81,41.08,38.37,37.18,47.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,62.22,61.77,61.48,62.61,64.66,74.74,64.44,75.72,90.68,78.64,78.9,49.1,46.1,49.5,55.1,53.9,56.58,56.57,56.76,58.27,56.28,66.55,62.61,63.25,53.63,54.4,56.18,57.37,58.74,59.47,60.4,58.75,59.93,66.25,60.77,61.39,62.32,60.54,58.75,44.16,41.41,51.46,53.38,55.6,55.28,60.01,58.39,41.87,48.99,56.95,58.78,61.57,58.55,56.87,64.17,63.88,63.87,59.34,64.35,47.93,52.63,49.04,53.67,56.32,61.3,60.27,26796.36,27807.71,28605.12,29021.57,31175.88,32051.79,34409.03,37792.41,40083.7,38000.25,38986.22,40916.84,40873.1,41493.14,41757.4,42497.7,44934.45,47570.13,49755.14,51556.53,51089.79,FIN,"Population, total",SP.POP.TOTL,4429634,4461005,4491443,4523309,4548543,4563732,4580869,4605744,4626469,4623785,4606307,4612124,4639657,4666081,4690574,4711440,4725664,4738902,4752528,4764690,4779535,4799964,4826933,4855787,4881803,4902206,4918154,4932123,4946481,4964371,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5530719,Europe,EU,"Finland, Republic of",FI,246
France,62.3,66.74,67.07,68.25,68.72,78.22,69,71.05,88.2,83.95,80,56.8,62.2,63.5,64.6,66.3,64.74,65.9,64.11,65.97,66.17,59.8,59.3,57.9,50.33,50.4,51.78,52.88,52.4,51.95,55.52,51.57,52.23,56.3,50.96,45.2,46.4,48.83,51.57,36.89,42.74,49.26,53.25,53.09,56.73,51.75,53.81,40.74,32.43,51.2,51.93,55.61,56.92,54.46,56.37,57.99,58.29,54.61,59.7,51.26,54.63,49.59,53.24,55.09,53.74,56.72,26101.97,27501.93,28523.89,28143.64,29036.39,30498.58,32425.12,34079.93,35095.27,34703.6,35930.31,37440.63,37679.12,39523.86,40144.03,40850,42924.61,44577.06,46569.02,49377.13,46226.95,FRA,"Population, total",SP.POP.TOTL,46621688,47240526,47904879,48582624,49230585,49818019,50330268,50775788,51175507,51561833,51957747,52371320,52793151,53207744,53592235,53931390,54220033,54467709,54691866,54917110,55161510,55430278,55718940,56023775,56337675,56654703,56976126,57302642,57627106,57940199,58235716,58559309,58851216,59106758,59327200,59541904,59753095,59964841,60186284,60496708,60912500,61357432,61805266,62244880,62704901,63179356,63621376,64016227,64374979,64707035,65027505,65342789,65659814,65998685,66312067,66548272,66724104,66918020,67101930,67248926,67391582,Europe,EU,"France, French Republic",FR,250
Gabon,49.99,56.32,57.14,56.45,55.42,56.44,57.91,46.6,67.37,45.05,45.8,,,,,,,,,,,,,,40.72,41.85,43.35,43.22,43.59,43.16,43.9,55.03,52.6,54.5,57.14,58.25,57.95,60.05,55.03,43.15,52.34,53.13,38.5,57.06,55.12,33.08,32.49,50.05,46.02,35.79,37.06,40.37,25.7,30.39,34.43,21.56,26.12,23.79,21.88,50.23,50.62,42.7,50.11,40.75,39.94,42.06,13852.35,14117.7,13968.82,14199.31,14315.11,14755.37,14366.19,15187.92,14517.85,14177.17,14837.02,15638.75,15356.24,15114.38,15370.97,14699.54,14286.19,15006.84,15098.45,15582.31,15190.64,GAB,"Population, total",SP.POP.TOTL,500922,505793,511285,517573,524891,533357,543119,554054,565763,577644,589317,600608,611705,622914,634739,647538,661398,676264,692078,708788,726335,744695,763932,784056,805117,827107,850052,873871,898472,923714,949493,975785,1002573,1029769,1057252,1084951,1112944,1141332,1170061,1199058,1228359,1258008,1288310,1319946,1353788,1390550,1430144,1472565,1518538,1568925,1624146,1684629,1749677,1817070,1883801,1947690,2007882,2064812,2119275,2172578,2225728,Africa,AF,"Gabon, Gabonese Republic",GA,266
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,33.86,35.52,36.31,37.12,38.26,38.87,41.54,48.43,47.66,47.03,41.17,42.71,42.65,46.80,48.43,35.61,46.40,50.84,36.94,52.30,53.52,30.94,30.94,29.36,50.67,36.50,38.52,39.95,17.86,24.90,22.31,23.91,22.80,17.68,20.78,37.71,38.46,32.15,38.97,37.00,43.23,46.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,53.63,55.95,56.25,56.28,57.34,63.64,56.84,47.23,64.96,55.69,41.3,,,,,,,,,,,,,,41.89,43.98,47.08,47.77,49.88,48.83,51.23,42.83,43.72,51.87,49.66,50.8,47.16,52.59,42.83,38.98,43.43,42.5,55.31,45.76,49.6,37.12,39.16,29.91,39.47,44.33,47.02,47.38,39.5,41.46,41.97,42.72,51.95,46.57,47.26,52.66,56.59,56.18,57.79,56.88,57.62,59.33,3104.52,3377.05,3650.86,4157.88,4545.29,5169.06,5860.36,6810.19,7132.21,6986,7564.06,8360.3,9826.05,10611.77,11575.55,12089.17,12858.48,13589.71,14595.63,15623.15,14863.02,GEO,"Population, total",SP.POP.TOTL,3645600,3703600,3760300,3816100,3870300,3921600,3966700,4005800,4042300,4080300,4119900,4163000,4205300,4242500,4279500,4311200,4342400,4372100,4397700,4430200,4467700,4504500,4542800,4582900,4622200,4662900,4704500,4743500,4790700,4803300,4802000,4835900,4873500,4911100,4836076,4657722,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3714000,Europe,EU,Georgia,GE,268
Germany,66.8,66.91,65.98,66.37,66.68,73.22,66.91,80.47,84.26,78.37,77.2,64.5,65.3,65.3,67,67.2,67.54,61.9,59.6,58.39,56.58,56.58,55.18,55.78,51.97,52.82,52.06,53.45,53.84,53.52,54.57,40.8,42.65,39.85,37.16,35.73,36.37,36.86,40.8,36.29,35.37,46.58,36.08,50.07,52.68,57.27,59.13,46.14,41.5,57.36,56.42,56.3,64.59,61.83,63.74,64.22,65.15,60.63,60.44,59.07,64.22,60.68,62.7,61.74,64.1,66.58,27210.87,28380.81,29178.64,29877.33,31307.86,31794.1,34114.62,36243.46,37802.39,36842.92,38982.43,42541.53,43359.61,44993.89,47011.55,47609.78,50579.68,52952.88,54954.85,55891.2,53694.35,DEU,"Population, total",SP.POP.TOTL,72814900,73377632,74025784,74714353,75318337,75963695,76600311,76951336,77294314,77909682,78169289,78312842,78688452,78936666,78967433,78673554,78336950,78159814,78091820,78126350,78288576,78407907,78333366,78128282,77858685,77684873,77720436,77839920,78144619,78751283,79433029,80013896,80624598,81156363,81438348,81678051,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83240525,Europe,EU,"Germany, Federal Republic of",DE,276
Ghana,44.98,42.61,46.55,45.95,47.04,51.33,47.5,32.07,58.89,49.66,27.6,,,,,,,,,,,,,,43.41,42.47,43.95,44.48,42.97,42.92,48.49,51.23,50.09,46.8,53.51,49.13,48.94,55.62,51.23,41.48,52.01,56.1,42.41,57.69,63.81,36.97,38.45,46.67,46.29,36.45,36.44,40.64,35.24,32.31,36.88,34.45,31.53,25.24,27.26,53.12,50.01,43.91,40.47,40.07,46.28,55.1,1771.54,1837.25,1903.15,1989.77,2104.81,2241.29,2394.93,2500.8,2711.88,2792.97,2973.83,3379.48,3781.87,5294.82,5256.67,5005.02,4844.66,4983.69,5302.2,5625.1,5596.31,GHA,"Population, total",SP.POP.TOTL,6635229,6848291,7071966,7300124,7524470,7739463,7941418,8132803,8321773,8520018,8735493,8973247,9229640,9493552,9749098,9985946,10199164,10395453,10590265,10805318,11056112,11348287,11676828,12033559,12405659,12783617,13164839,13552021,13947047,14353409,14773274,15207360,15653345,16106756,16561677,17014058,17462504,17908977,18357159,18812369,19278850,19756929,20246376,20750308,21272328,21814648,22379057,22963946,23563832,24170943,24779614,25387713,25996454,26607641,27224480,27849203,28481947,29121464,29767108,30417858,31072945,Africa,AF,"Ghana, Republic of",GH,288
Greece,55.8,56.91,58.28,59,59.61,60.87,60.04,73.28,85.81,73.6,69.1,46.8,44.7,46,52.4,50.3,52.04,51.5,55.89,55.06,58.29,47.86,50.86,52.59,42.79,42.41,45.2,46.92,47.44,47.44,49.96,46.85,47.99,48.1,43.01,40.84,40.77,44.74,46.85,35.83,43.31,47.74,45.98,51.25,46.03,41.98,42.04,36.62,37.64,43.55,43.63,50.01,46.5,43.02,49.03,49.72,51.51,46.85,49.88,40.26,43.15,40.45,49.21,49.4,54.67,59.15,19524.68,20963.84,22615.94,23871.97,25439.35,25577.52,28510.94,29284.67,30856.01,30381.49,27934.41,25671.52,24912.19,25947.94,26642.11,26721.12,27471.24,28645.04,29680.94,30869.15,28463.79,GRC,"Population, total",SP.POP.TOTL,8331725,8398050,8448233,8479625,8510429,8550333,8613651,8684088,8740765,8772764,8792806,8831036,8888628,8929086,8962022,9046541,9188150,9308479,9429959,9548258,9642505,9729350,9789513,9846627,9895801,9934300,9967213,10000595,10036983,10089498,10196792,10319927,10399061,10460415,10512922,10562153,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10715549,Europe,EU,"Greece, Hellenic Republic",GR,300
Guatemala,47.53,47.73,48.76,51.9,52.38,53.97,51.88,48.06,69.64,52.33,31.8,,,,,,,,,,,,,,41.86,39.97,37.25,40.3,39.25,39.49,41.61,46.35,46.2,41.5,45.03,38.68,38.61,45.48,46.35,55.88,54.41,52.39,42.82,52.89,57.68,33.13,31.9,39.2,34.91,35.1,33.03,33.28,27.21,17.84,19.16,21.98,21.51,22.77,22.38,46.75,48.05,42.92,48.61,48.15,50.15,49.26,4763.66,4863.45,5013.51,5124.39,5313.31,5541.98,5894.58,6310.61,6518.39,6476.43,6618.19,6910.88,7204.73,7446.59,7758.49,8194.44,8221.75,8322.22,8665.35,9019.26,8854.2,GTM,"Population, total",SP.POP.TOTL,4128880,4251911,4378604,4508444,4640795,4774984,4910790,5047435,5184095,5320100,5455197,5589563,5723759,5858466,5994300,6131151,6269983,6412667,6561919,6720582,6890346,7071186,7262658,7462585,7669863,7884034,8104921,8332446,8566331,8805995,9050115,9296814,9544055,9790619,10037522,10286786,10536942,10788362,11046215,11311078,11589761,11871565,12147518,12415334,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,North America,,"Guatemala, Republic of",GT,320
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,36.12,36.31,36.88,40.22,39.77,39.74,41.98,59.53,58.76,56.89,55.80,56.37,57.33,56.38,59.53,36.91,43.24,47.98,41.91,49.06,54.63,31.50,35.06,55.76,42.70,38.37,41.36,41.94,16.35,16.90,18.77,18.54,17.95,15.10,17.56,37.89,33.90,29.97,40.88,37.10,35.88,39.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,35.50,35.88,37.53,38.78,36.11,36.91,39.39,55.72,54.32,52.95,54.97,52.20,52.81,56.82,55.72,35.79,43.05,49.59,48.89,50.26,54.43,32.74,35.42,41.61,40.31,28.09,35.71,34.02,21.95,21.42,22.11,20.42,19.27,16.62,17.97,32.82,32.43,37.58,36.81,30.74,29.14,33.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,43.95,42.33,40.59,42.95,43.18,46.18,48.67,65.85,67.97,64.69,70.55,69.55,70.83,70.72,65.85,39.06,42.06,41.49,45.80,43.64,48.68,34.22,34.00,55.21,37.89,31.83,36.61,36.10,36.11,29.17,32.16,30.76,32.60,37.55,38.72,42.04,41.43,35.35,41.80,38.80,42.28,49.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,39.19,38.8,40.27,41.07,41.12,39.5,41.15,19.01,43.28,33.74,27,,,,,,,,,,,,,,32.87,32.55,32.57,34.5,33.21,31.25,35.54,31.31,29.38,27.83,27.53,27.64,29.35,31.07,31.31,48.68,54.56,51.43,60.88,55.15,52.48,31.77,32.08,49.66,38.63,28,29.37,32.42,26.3,23.53,25.79,30.12,28.71,20.12,31.29,27.41,29.08,28.69,32.44,27.53,22.26,30.45,2095.54,2098.39,2115.57,2190.73,2185.86,2297.85,2370.15,2528.65,2600.31,2742.47,2628.28,2805.73,2762.44,2872.19,2897.22,2903.36,3025.73,2980.96,3064.16,3028.31,2925.37,HTI,"Population, total",SP.POP.TOTL,3866162,3941956,4019171,4097755,4177631,4258734,4341325,4425318,4509811,4593666,4676237,4757175,4837334,4918625,5003708,5094570,5191637,5294625,5404020,5520187,5643175,5773367,5910223,6051617,6194686,6337275,6478537,6618742,6758222,6897755,7037915,7178611,7319491,7460684,7602318,7744509,7887312,8030721,8174680,8319070,8463802,8608810,8754148,8900108,9047082,9195289,9344784,9495336,9646570,9798046,9949318,10100320,10250922,10400672,10549007,10695540,10839976,10982367,11123183,11263079,11402533,North America,,"Haiti, Republic of",HT,332
Honduras,49.35,48.63,49.1,51.11,52.03,49.87,52.54,48.87,69.64,51.51,37.8,,,,,,,,,,,,,,34.13,34.14,36.52,37.95,38.03,36.2,42.17,44.51,45.02,39.91,40.91,40.94,40.36,45.83,44.51,40.3,54.42,51.33,59.35,54.5,57.61,28.81,28.83,40.15,39.8,31.82,29.93,33.98,27.94,24.31,29.39,26.41,30.33,25.32,32.6,30.46,32.21,31.4,38.76,32.43,30.88,40.85,2591.33,2648.81,2720.27,2824.61,3006.7,3210.35,3443.77,3671.33,3816.84,3674.23,3778.46,3928.27,4032.58,4142.24,4452.59,4823.4,5147.25,5561.99,5816.75,5978.76,5420.56,HND,"Population, total",SP.POP.TOTL,2038636,2096407,2155648,2216712,2280044,2346005,2414805,2486418,2560723,2637515,2716652,2798125,2882102,2968978,3059245,3153252,3251145,3352825,3458102,3566661,3678274,3792922,3910642,4031333,4154864,4281167,4410270,4542218,4677023,4814696,4955302,5098594,5244677,5394416,5548969,5709010,5874814,6045704,6220405,6397140,6574510,6751912,6929267,7106323,7282953,7458982,7634295,7808520,7980955,8150780,8317467,8480670,8640692,8798524,8955579,9112904,9270794,9429016,9587523,9746115,9904608,North America,,"Honduras, Republic of",HN,340
Hungary,52.36,53.36,55.07,56.47,56.96,69.11,57.12,70.28,84.6,65.01,63.7,61,60.5,55.6,61.8,60.7,66.41,65.17,62.82,60.76,55.05,44,46.79,41.17,45.74,44.97,47.32,47.79,48.8,49.22,52.88,47.76,48.5,45.43,45.85,44.66,44.43,53.5,47.76,34.51,39.39,44.1,36.1,47.42,48.34,47.3,45.63,40.66,46.54,43.86,45.03,46.03,51.26,45.08,51.48,49.76,53.2,50.86,57.5,44.95,51.15,54.73,56.69,55.77,58.35,59.04,11858.33,13213.64,14526.39,15465.37,16230.26,17073.55,18337.21,19041.09,20696.73,20689.05,21716.65,22999.83,23206.26,24498.66,25642.56,26777.47,27911.66,29465.13,31831.98,33956.82,33084.1,HUN,"Population, total",SP.POP.TOTL,9983967,10029321,10061734,10087947,10119835,10147935,10178653,10216604,10255815,10298723,10337910,10367537,10398489,10432055,10478720,10540525,10598677,10648031,10684822,10704152,10711122,10711848,10705535,10689463,10668095,10648713,10630564,10612741,10596487,10481719,10373988,10373400,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9749763,Europe,EU,"Hungary, Republic of",HU,348
Iceland,63.95,64.2,64.6,64.79,65.85,93.48,66.28,76.5,90.51,78.57,72.3,,,,,,,,,,,,,,56.19,56.09,56.02,57.62,59.29,57.3,60.74,58.82,60.75,59.45,59.81,57.92,58.01,63.8,58.82,46,42.35,49.88,43.92,56.02,52.04,62.14,61.24,32.77,35.62,59.72,58.43,65.37,56.63,51.82,58.71,60.26,61.89,55.45,61.26,55.91,60.63,57.78,60.08,60.89,58.61,61.21,29792.05,31889.82,32607.11,32665.54,35586.69,37322.74,39647.23,41413.1,43728.11,41895.01,39805.67,40936.87,42004.45,44409.67,45996.97,49201.06,53480.4,55638.49,58222.34,60081.85,55216.03,ISL,"Population, total",SP.POP.TOTL,175574,179029,182378,185653,188983,192286,195570,198751,201488,203369,204438,206098,209137,212317,215209,217979,220154,221799,223537,225735,228138,230755,233860,236977,239511,241405,243180,245859,249740,252852,254826,257797,261057,263725,266021,267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563,366425,Europe,EU,"Iceland, Republic of",IS,352
